height,height2,height3,FG3_attempted_by_minutes,FG3_attempted_by_minutes_1,FG3_attempted_by_minutes_2,FG3_attempted_by_minutes_3,position,position2
196,"0,45",0.45000000,"0,1304347826",0.13043478,"0,3813302725",0.38133027,Shooting Guard,1
185,"0,175",0.17500000,"0,09375",0.09375000,"0,2740811334",0.27408113,Point Guard,0
217,"0,975",0.97500000,"0,1548269581",0.15482696,"0,4526415803",0.45264158,Center,4
180,"0,05",0.05000000,"0,2512690355",0.25126904,"0,7345930884",0.73459309,Point Guard,0
188,"0,25",0.25000000,"0,001410437236",0.00141044,"0,00412345852",0.00412346,Point Guard,0
188,"0,25",0.25000000,"0,2832369942",0.28323699,"0,8280524415",0.82805244,Shooting Guard,1
191,"0,325",0.32500000,"0,2915129151",0.29151292,"0,8522473618",0.85224736,Point Guard,0
190,"0,3",0.30000000,"0,181372549",0.18137255,"0,5302484671",0.53024847,Shooting Guard,1
188,"0,25",0.25000000,"0,1972318339",0.19723183,"0,5766135955",0.57661360,Shooting Guard,1
201,"0,575",0.57500000,"0,1086956522",0.10869565,"0,3177752272",0.31777523,Small Forward,2
188,"0,25",0.25000000,"0,2277227723",0.22772277,"0,6657548323",0.66575483,Point Guard,0
190,"0,3",0.30000000,"0,1037344398",0.10373444,"0,3032709635",0.30327096,Shooting Guard,1
202,"0,6",0.60000000,"0,07796610169",0.07796610,"0,2279364002",0.22793640,Small Forward,2
193,"0,375",0.37500000,"0,1923963134",0.19239631,"0,5624767961",0.56247680,Point Guard,0
208,"0,75",0.75000000,"0,1666666667",0.16666667,"0,4872553483",0.48725535,Power Forward,3
193,"0,375",0.37500000,"0,08783783784",0.08783784,"0,2567967376",0.25679674,Shooting Guard,1
183,"0,125",0.12500000,"0,002886002886",0.00288600,"0,008437322047",0.00843732,Point Guard,0
188,"0,25",0.25000000,"0,08089260809",0.08089261,"0,2364921355",0.23649214,Point Guard,0
218,1,1.00000000,"0,2208588957",0.22085890,"0,6456880688",0.64568807,Center,4
193,"0,375",0.37500000,"0,1536144578",0.15361446,"0,4490967968",0.44909680,Shooting Guard,1
203,"0,625",0.62500000,"0,006385696041",0.00638570,"0,01866878729",0.01866879,Small Forward,2
208,"0,75",0.75000000,"0,2303664921",0.23036649,"0,673483832",0.67348383,Small Forward,2
201,"0,575",0.57500000,"0,2945736434",0.29457364,"0,8611954992",0.86119550,Shooting Guard,1
191,"0,325",0.32500000,"0,1983273596",0.19832736,"0,5798164",0.57981640,Shooting Guard,1
198,"0,5",0.50000000,"0,09255533199",0.09255533,"0,2705884831",0.27058848,Shooting Guard,1
201,"0,575",0.57500000,"0,2829131653",0.28291317,"0,8271057173",0.82710572,Power Forward,3
196,"0,45",0.45000000,"0,1940298507",0.19402985,"0,5672524948",0.56725249,Shooting Guard,1
188,"0,25",0.25000000,"0,2005813953",0.20058140,"0,5864061457",0.58640615,Point Guard,0
211,"0,825",0.82500000,"0,3420520006",0.34205200,1,1.00000000,Center,4
208,"0,75",0.75000000,"0,1981424149",0.19814241,"0,5792757082",0.57927571,Power Forward,3
201,"0,575",0.57500000,"0,1699895068",0.16998951,"0,496969778",0.49696978,Shooting Guard,1
208,"0,75",0.75000000,"0,09056753016",0.09056753,"0,2647770807",0.26477708,Center,4
206,"0,7",0.70000000,"0,0733632287",0.07336323,"0,2144797533",0.21447975,Small forward,2
191,"0,325",0.32500000,"0,0163141994",0.01631420,"0,04769508546",0.04769509,Shooting guard,1
206,"0,7",0.70000000,"0,1780745687",0.17807457,"0,5206067159",0.52060672,Power forward,3
213,"0,875",0.87500000,"0,2125162973",0.21251630,"0,6212982147",0.62129821,Power forward,3
211,"0,825",0.82500000,"0,1258225004",0.12582250,"0,3678461175",0.36784612,Power forward,3
185,"0,175",0.17500000,"0,2022800351",0.20228004,"0,5913721737",0.59137217,Point guard,0
201,"0,575",0.57500000,"0,119108513",0.11910851,"0,3482175599",0.34821756,Small forward,2
201,"0,575",0.57500000,"0,226049735",0.22604974,"0,6608636541",0.66086365,Small forward,2
213,"0,875",0.87500000,"0,1288475304",0.12884753,"0,3766898898",0.37668989,Center,4
198,"0,5",0.50000000,"0,1590062112",0.15900621,"0,4648597609",0.46485976,Shooting guard,1
191,"0,325",0.32500000,"0,1185403445",0.11854034,"0,346556501",0.34655650,Point guard,0
208,"0,75",0.75000000,"0,1983113228",0.19831132,"0,5797695159",0.57976952,Center,4
188,"0,25",0.25000000,"0,1361414065",0.13614141,"0,3980137706",0.39801377,Point guard,0
191,"0,325",0.32500000,"0,2058180595",0.20581806,"0,6017157015",0.60171570,Shooting guard,1
183,"0,125",0.12500000,"0,195505171",0.19550517,"0,5715656411",0.57156564,Point guard,0
203,"0,625",0.62500000,"0,114198871",0.11419887,"0,3338640639",0.33386406,Power forward,3
196,"0,45",0.45000000,"0,2526558891",0.25265589,"0,7386475994",0.73864760,Point guard,0
208,"0,75",0.75000000,"0,2037428804",0.20374288,"0,5956488488",0.59564885,Power forward,3
191,"0,325",0.32500000,"0,2525347353",0.25253474,"0,7382934023",0.73829340,Point guard,0
